starter_1,starter_2,starter_3,starter_1_type,starter_2_type,starter_3_type,avg_personalization_score,relationship_type,pair_id,profile_a_id,profile_b_id,compatibility_score
"Hi Steve, I'm 15 years into my career in Healthcare and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Hi Steve, I see we both have experience with Google Cloud. I'm curious how you've applied it at Netflix. Would you be willing to share your approach?","Steve, I see you're at Netflix - that's exciting! I'm working on something in the Healthcare space and thought you might find it interesting. Open to connecting?",question,question,collaboration,78.33333333333333,mentorship,4d79b6ce66a29fc67c6ca995648ebf92_bf4c6d9a63ffdf7dc8b49b1169b71840,4d79b6ce66a29fc67c6ca995648ebf92,bf4c6d9a63ffdf7dc8b49b1169b71840,60.4
"Hi Brenda, I'm 8 years into my career in Entertainment and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Hi Brenda, I noticed you have 14 years of experience in Entertainment. I'm currently Strategic role, and would love to learn from your experience. Would you be open to a quick chat?","Hello Brenda, we seem to have similar backgrounds in Angular. I've been following developments in Angular and would enjoy exchanging ideas with someone in your position.",question,question,introduction,76.66666666666667,mentorship,f9b4898fecd9e11348be8788c9cbaebc_6e9ca2d364a537839e8b6aeda54817e7,f9b4898fecd9e11348be8788c9cbaebc,6e9ca2d364a537839e8b6aeda54817e7,60.17
"Hi Gregory, I'm 13 years into my career in Entertainment and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Hey Gregory, your background in Sketch and Strategy is impressive. I'm working on projects in Entertainment and could use advice from someone with your expertise. Mind if I pick your brain?","Hi Gregory, your experience with Google Cloud caught my eye. I think there might be valuable insights we could share given our complementary backgrounds.",question,question,question,76.66666666666667,mentorship,25da2fd8ee5a41be95c6d84c45cb7f11_9d301c821f5296941787b49e15f5e899,25da2fd8ee5a41be95c6d84c45cb7f11,9d301c821f5296941787b49e15f5e899,60.66
"Hello April! I'm looking for guidance as I Advisory roles, and your background makes you the perfect person to learn from. Would you consider being a mentor?",Hello April! I saw that you work at Airbnb as a Head of Product. I'm interested in Energy and would appreciate any insights you could share. Do you have 15 minutes for a coffee chat?,Hey April! Fellow Energy professional here. I noticed we both care about JavaScript. I'd love to connect and potentially collaborate.,mentorship_request,question,collaboration,80.0,mentorship,75c048d625c90e9856bb9b6a8c6be363_9b2b25b09a88b1ecff9f4e58386fa588,75c048d625c90e9856bb9b6a8c6be363,9b2b25b09a88b1ecff9f4e58386fa588,60.67
Hello Donald! I saw you need help with career guidance. I've worked on hiring referrals for 18 years and would be happy to share insights. Let's connect?,"Donald, I see you're at Microsoft - that's exciting! I'm working on something in the Manufacturing space and thought you might find it interesting. Open to connecting?","Hey Donald, your background in Swift and Business Development is impressive. I'm working on projects in Manufacturing and could use advice from someone with your expertise. Mind if I pick your brain?",question,collaboration,question,80.0,value_exchange,8d682039acf71319987682ca8ba04635_3f8a8f969469f707cfa4ba40b3ab8d13,8d682039acf71319987682ca8ba04635,3f8a8f969469f707cfa4ba40b3ab8d13,60.47
"Hi Christopher, I'm 19 years into my career in Entertainment and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Hi Christopher, I noticed you have 12 years of experience in Entertainment. I'm currently Exit strategy, and would love to learn from your experience. Would you be open to a quick chat?","Hi Christopher, your experience with Flask caught my eye. I think there might be valuable insights we could share given our complementary backgrounds.",question,question,question,71.66666666666667,mentorship,259a1ec5c4b415caa5e4d6eedb541c15_fbd2e432230f81b48d2a6b488a6a0788,259a1ec5c4b415caa5e4d6eedb541c15,fbd2e432230f81b48d2a6b488a6a0788,60.5
"Hi Amanda, I'm 20 years into my career in Manufacturing and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Hey Amanda, your background in Rust and NLP is impressive. I'm working on projects in Manufacturing and could use advice from someone with your expertise. Mind if I pick your brain?",Hey Amanda! Fellow Manufacturing professional here. I noticed we both care about Google Cloud. I'd love to connect and potentially collaborate.,question,question,collaboration,80.0,mentorship,765c013965928612e4923ba86aa5d6ad_903ad57461f859ec23b5c19557771308,765c013965928612e4923ba86aa5d6ad,903ad57461f859ec23b5c19557771308,60.67
"Hi Deborah, I noticed you're hiring for Senior Product Manager. I know several talented Operations professionals who might be a fit. Want me to send them your way?",Hey Deborah! Fellow Education professional here. I noticed we both care about TypeScript. I'd love to connect and potentially collaborate.,Hello Deborah! I saw that you work at GrowthTech as a Senior Product Manager. I'm interested in Education and would appreciate any insights you could share. Do you have 15 minutes for a coffee chat?,value_proposition,collaboration,question,90.0,value_exchange,7680bf2850161b834b837c415a003dba_7ea49179815f2aafade432ffda7661e2,7680bf2850161b834b837c415a003dba,7ea49179815f2aafade432ffda7661e2,60.92
"Diane, your career trajectory from early career to COO is exactly the path I'm aiming for. Any chance you'd be willing to mentor someone earlier in their journey?","Hey Diane, your background in Java and Node.js is impressive. I'm working on projects in Telecommunications and could use advice from someone with your expertise. Mind if I pick your brain?","Hi Diane! I came across your profile and was impressed by your work in Telecommunications. I'm a Senior Product Manager working on Scale impact, and thought we might have some interesting synergies. Would love to connect!",mentorship_request,question,collaboration,76.66666666666667,mentorship,efb0c525aac5e1d58d6690ae705dc8fe_aaef75226870ba4cd80cab758a518ace,efb0c525aac5e1d58d6690ae705dc8fe,aaef75226870ba4cd80cab758a518ace,60.9
"Maria, your career trajectory from early career to Senior Designer is exactly the path I'm aiming for. Any chance you'd be willing to mentor someone earlier in their journey?",Hello Maria! I saw that you work at ScaleUp as a Senior Designer. I'm interested in Healthcare and would appreciate any insights you could share. Do you have 15 minutes for a coffee chat?,"Hello Maria, we seem to have similar backgrounds in JavaScript. I've been following developments in JavaScript and would enjoy exchanging ideas with someone in your position.",mentorship_request,question,introduction,71.66666666666667,mentorship,0a439621d70daa15c63562afd0b7ff0c_041e5f94abdb67a0899e8372c6d4b5b7,0a439621d70daa15c63562afd0b7ff0c,041e5f94abdb67a0899e8372c6d4b5b7,60.07
